doctor_id,doctor_name
26613,Matthew Smith
33649,Samantha Davies
37829,Tiffany Mitchell
22512,Kevin Wells
21260,Kathleen Hanna
37122,Taylor Newton
21959,Kelly Olson
36660,Suzanne Thomas
9261,Daniel Ferguson
14680,Heather Day
18734,John Duncan
11559,Douglas Mayo
22138,Kenneth Fletcher
37437,Theresa Freeman
32894,Roberta Stewart
25489,Maria Dougherty
13098,Erica Spencer
20615,Justin Kim
20638,Justin Moore Jr.
10637,Denise Galloway
22926,Krista Smith
14411,Gregory Smith
39124,Vanessa Newton
11420,Donna Martinez MD
35879,Stephanie Kramer
2373,Angela Contreras
39642,Wendy Glenn
15697,James Ellis
16260,Jared Bruce Jr.
4694,Brandy Mitchell
15358,Jacob Huynh
23168,Kristina Frazier
18795,John Hartman
14698,Heather Garcia
25096,Lynn Young
12787,Emma Allison
23703,Laura Myers
38699,Travis Parsons
7486,Christine Johnson
12764,Emily Taylor
40012,William Reynolds
17194,Jennifer Carter
26624,Matthew Thomas
26212,Mary Logan
23118,Kristin Martinez
9375,Daniel Murphy
12725,Emily Patterson
14809,Heather Smith
18990,John Smith
5869,Cameron Young
39240,Vicki Nguyen
26241,Mary Moss
602,Alexander Garcia
30722,Patrick Burns
21672,Kayla Powers
20307,Julia Cox
31122,Penny Pruitt
29267,Mrs. Lori Hurst PhD
36018,Stephen Carr
15331,Jacob Daniel
38859,Tyler Braun
8047,Cindy Ellis
26787,Megan Hahn
12912,Eric Kelly
17343,Jennifer Larson
39906,William Hess
30577,Patricia Dunn
15238,Jack Jackson
19201,Jonathan Drake
15105,Ian Benitez
16019,Jamie Baker
13169,Erika Jackson
1281,Amanda Garcia
31654,Raven Wong
8996,Cynthia Scott
25912,Mark Padilla
20498,Julie Ramirez
15400,Jacob Rich
25827,Mark Hartman Jr.
37907,Timothy Baker
24873,Lori Sanchez
8372,Connie Boyd
15972,James Tucker
20187,Juan Acevedo
20413,Julie Finley
28329,Miguel Parker
17720,Jermaine Peters
24495,Lisa Edwards
26635,Matthew Walker
14336,Gregory Hansen
17966,Jessica Cruz
32804,Robert Salazar
23395,Kyle Patterson
19002,John Summers
34476,Scott Grant
10133,David Ruiz
23413,Kyle Smith
16590,Jason Price
35811,Stephanie Clements
36271,Steven James
17582,Jeremiah Wolf
32911,Roberto Petersen
7318,Christina Hammond
30568,Patricia Colon
11178,Dominic Mitchell
39631,Wendy Davis
9231,Daniel Carson
13236,Erin Henderson MD
7617,Christopher Butler
33861,Samuel Robles
4025,Benjamin Webb
23275,Krystal Fox
5566,Bruce Garrett
19333,Jonathan Watson
7720,Christopher Guerra
36181,Steven Adams
39388,Victoria Patel
24907,Louis Bell
27404,Michael Baker
11528,Douglas Fleming
30723,Patrick Carter
34339,Sarah Shaffer
26405,Matthew Carter
5216,Brian Wagner
24942,Lucas Cole
20362,Julia Yoder
8724,Crystal Chavez
4797,Brenda Lopez
27478,Michael Cole
27662,Michael Larson
38485,Tracey Spence
36493,Susan Gibson
14057,Gerald Hooper
38253,Todd Sanchez
12502,Elizabeth Morales
22803,Kimberly Petersen
28471,Misty Garcia
27113,Melissa Fernandez
21001,Kari Moore
9976,David Hubbard
24760,Lonnie Morgan
39339,Victoria Gonzales
8082,Cindy White
11554,Douglas Li
24845,Lori Mendoza
33534,Ryan Ross
5219,Brian Walton
27424,Michael Berg
34454,Scott Davis
9432,Daniel Shelton
37012,Tara Moreno
23067,Kristie Morgan
19735,Joseph Jones
25567,Maria Tran
21952,Kelly Murphy
21096,Katherine Brown
12404,Elizabeth Frank
1149,Alyssa Edwards
17888,Jesse Thomas
13083,Erica Mccormick
1537,Amber Holmes
3654,Austin Jackson
34819,Shane Morris
4912,Brent Smith
21622,Kayla Davis
33259,Rose Zuniga
13352,Ethan Wagner
31326,Phillip Williams
26665,Maureen Hill
14874,Heidi Compton MD
22702,Kimberly Gonzalez
31836,Rebecca Morgan
33606,Sabrina Rogers
22302,Kevin Brown
34176,Sarah Cole
17280,Jennifer Hall
12627,Emily Cruz
27386,Michael Anderson
29571,Natalie Sellers
30793,Patrick Ochoa
9414,Daniel Rodgers
37049,Taylor Baldwin
289,Adam Ross
1852,Amy Williams
25998,Martha Graham
12765,Emily Thomas
37291,Terrance Rosales
9436,Daniel Smith
25718,Marissa Stevenson
21514,Katie Fitzpatrick
10771,Dennis Small
7167,Chris Holt
17535,Jenny Griffith
14361,Gregory Lambert
27393,Michael Armstrong
27277,Melissa Terry
37521,Thomas Bruce
15780,James James DVM
34712,Sean Smith
18787,John Hansen
37234,Teresa Mccarthy
35783,Stephanie Barnett
28981,Mr. Luke Nunez Jr.
35733,Stacy Stewart
2009,Andrea Oneal
12851,Eric Coleman
2890,Anthony Barnes
27609,Michael Hickman
12011,Dustin Wolf
1465,Amanda Wells
16558,Jason Miller
15014,Holly James
3197,April Cox
39479,Virginia Lynch
30589,Patricia Fuller
28289,Michelle Ward
32919,Robin Adams
12711,Emily Morales
369,Adriana Morrow
27728,Michael Mitchell
6159,Caroline Choi
27823,Michael Robinson
14762,Heather Miller
15069,Howard Obrien
13447,Faith Cook
11366,Donna Colon
10016,David Lindsey
3031,Anthony Nixon
11480,Doris Hawkins
5781,Caleb James
30645,Patricia Moore
26457,Matthew Gray
20623,Justin Lowe
9636,Danny Mcdonald
